idbel_white,fullname_white,belrating_white,result,idbel_black,fullname_black,belrating_black
24698,"Twechuizen, Benjamin",1685,0-1,23303,"De Meester, Johan",1760
79596,"Clerquin, Constant",1572,0-1,11400,"Verhalle, Elias",1954
44725,"Tollenaere, Bert",1801,½-½,14296,"Lenaerts, Hugo",1395
22060,"Staelens, Maël",1453,½-½,6530,"Coupe, Rudy",1609
15819,"Tempels, Robbe",1307,1-0,77771,"Ghislain, Jean-Pierre",1418
9628,"Passchyn, Maarten",1968,½-½,13196,"Defreyne, Luc",1928
96493,"Stevens, Rene",1790,0-1,12146,"Coucke, Yari",1343
57941,"Lagast, Herve",1902,1-0,73717,"Rogiers, Jonny",1708
28134,"Van Houtte, Filip",1713,0-1,35980,"De Corte, Ronny",1784
72443,"George, Michaël",1877,½-½,22511,"Konidakis, Alex",1696
73695,"Marchiano, Marco",1812,½-½,83275,"Oger, Daniel",1803
73946,"Degembe, Serge",1811,0-1,10295,"Henrotte, Corentin",1845
20412,"Menolascina, Francesco",1650,1-0,24319,"Demeyere, Thomas",1338
17343,"Ognyanov, Michail",1776,½-½,88374,"Lion, Maurice",1837
89516,"Grobelny, Fabrice",1798,½-½,15377,"Delanoeije, Patrick",1916
13286,"Vervaet, Bart",1823,1-0,59722,"Culot, Cédric",1812
13979,"Morici, Alessandro",1609,1-0,15997,"Baert, Bart",1510
34584,"De Reymaeker, Walter",1796,0-1,23129,"Muratet, Lucas",2133
19700,"Carion, Sébastien",1635,1-0,655,"De Bosscher, Peter",1706
76325,"Pletinckx, Eddy",1684,1-0,97781,"De Brouwer, Philippe",1696
85987,"Flabat, Renaud",1455,½-½,76317,"Cornelis, Eric",1650
20249,"Vukojevic, Philippe",1988,1-0 FF,,"--, --",0
,"--, --",0,0-1 FF,48011,"Counet, Jean-Michel",2018
74063,"Dessomme, François",1857,1-0 FF,,"--, --",0
,"--, --",0,0-1 FF,11758,"Vukojevic Ferrari, Viktor",1749
96105,"Dupuis, Cédric",1864,1-0,89575,"Detienne, Stéphane",1888
22967,"Barlow, James",1758,1-0,98919,"Deneyer, Frank",1760
10859,"Luque Joris, Sébastien",1567,½-½,60275,"Lenoir, Thierry",1666
23339,"Fiorini, Lucien",1498,½-½,23300,"Gangai, Luis",1510
14450,"Heldenbergh, Nils",2062,1-0,5720,"Romanelli, Robert",1725
80195,"Auquier, Yvan",1560,½-½,19024,"Morard, Ambroise",1575
17289,"Katumwa, Iko",1464,1-0,50865,"Buyens, Régis",1528
24240,"Vandevannet, Tristan",1540,0-1,25218,"Pham, Cam Ngoc",0
26900,"Gain, Soheil",1806,0-1,18828,"Wuillaume, Nathan",1755
56871,"Castellana, Michaël",1596,1-0,17294,"Abdel-Kafi, Taha",1427
22646,"Toledo, Samuel",1548,½-½,12730,"Meulenyzer, Alan",1615
98146,"Henrotte, Christian",1510,0-1,22749,"Hernandez Morales, Adriel",1335
17256,"Van Praag, Bart",1814,½-½,58548,"Micic, Snezana",2036
86282,"Dethy, David",1963,1-0,23889,"Blanter, Marfa",1743
49506,"Kutlu, Hasan",1768,½-½,39225,"Putnik, Slobodan",1789
16658,"Assaf, Georges",1693,1-0,17346,"Ognyanov, Daniel",1518
42391,"Maes, Tibo",1981,1-0,25174,"Caulier, Marius",1690
60468,"Sohet, Cédric",1662,½-½,72966,"Castelein, Dirk",1921
11132,"Lachaert, Tibo",1913,1-0,25018,"Innocenti, Jean-Dominique",1521
67164,"Rando, Manuel",1517,0-1,23054,"Delens, Yoren",1429
99152,"De Ceukelaire, Gert",1866,1-0 FF,10344,"Van Zeebroeck, Sam",1802
14419,"Valcke, Rudi",1583,½-½,43419,"Maeckelbergh, Geert",1808
353,"Maeckelbergh, Anne-Marie",1718,1-0,16246,"Cotman, Lothar",1432
13052,"Cotman, Dirk",1357,1-0,19643,"Schepens, Aron",1447
23366,"Vreugdenhil, Frans",1899,½-½,70645,"Cappon, Kaan",1745
98412,"Gessis, Stavros",1679,0-1,35394,"Debuck, Valere",1880
53708,"De Saegher, Johan",1848,1-0,60110,"De Harlez, Guillaume",1606
26843,"Fernández Domingos, Elias",0,0-1,50131,"Bajraktari, Sadik",1819
50149,"Ramos Florido, José-Maria",1824,1-0,85472,"Van Bael, Pascal",1587
23288,"Groteclaes, Alexandre",1620,0-1,12256,"Busquets Pérez, Luis",1834
21578,"Busquets Xapelli, David",1316,1-0,23292,"Descamps, Thomas",1502
77828,"Bussola, Eric",1476,1-0,19684,"Grammatikopoulos, Ioannis",0
21218,"Mechkor, Mohamed",1618,1-0,18798,"Coutton, Maxence",1589
25045,"Vanden Eede, Nils",1623,½-½,16259,"Bontemps, Cédric",1464
22147,"Raptis, Olympios",1230,1-0,25065,"Lannoye, Cédric",1334
23003,"Drugmand, Benoît",1699,1-0,24629,"Pranckevicius, Mattias",0
41831,"Lombart, Philippe",1776,1-0,16160,"Rousseau, Christilla",1693
27354,"Stefansson, Benedikt",1531,½-½,8575,"Herman, Luc",1744
86941,"Haulotte, François",1726,1-0,16377,"Simek, Antonia",1562
12735,"Van Hille, Clara",1438,1-0,80918,"Lambert, Michel",1672
32212,"Pelgrims, Jan",1924,0-1,57312,"Lanoye, Regis",1950
14274,"Micciche, Ruben",1743,1-0,11947,"Dehan, Loïc",1911
11319,"Cornille, Yves",1894,0-1,60336,"Soubrier, Aude",1906
66575,"Brion, Sophie",1849,½-½,15005,"Boonen, Maarten",1799
23713,"Van Elsacker, Jasper",1626,½-½,93891,"Vanhamme, Patrick",1795
59382,"Gravidez, Tagumpay",1801,0-1,17669,"Aishajiang, Ehsan",1472
17291,"Abidin, Aysajan",1612,1-0,85031,"Caufriez, Olivier",1794
25844,"Chokouhian, Ahmad",1749,0-1,24398,"De Coninck, Jonathan",1370
10563,"Verbist, Julien",2019,1-0,23041,"Bouquiaux, Julien",1855
16554,"Boshra, Abanoub",1818,0-1,81698,"Nolf, Stephane",2026
76228,"Vanobbergh, Gregory",2042,1-0,23011,"De Saedeleer, Sam",1747
23609,"Baeten, Wim",1612,0-1,22578,"Haber, Jean-Pierre",1921
64386,"Thiry, Jean-Christophe",2022,½-½,21298,"Petrík, Matús",1669
25426,"Borgogni, Angelo",0,0-1,58092,"Delcour, Errol",1754
10712,"Arabia, Allan",1687,1-0,23739,"Sola, Alessandro",1549
24298,"Kaduk Aguilar, Borin",0,1-0,2411,"Remont, Léopold",1730
23489,"Daday, Csaba",1751,½-½,62715,"Moors, Marc",1782
20290,"François, Pascal",1687,0-1,46094,"Vanhouwe, Jiri",1752
16540,"Raman, Simon",1743,1-0,16713,"Serruys, Henri",1635
19691,"De Meyer, Jef",1601,0-1,15806,"Van Dorpe, Filip",1562
34517,"Verschraegen, Thomas",1951,½-½,15783,"Kuszelewski, Artur",1793
24996,"Demont, Yves",1777,0-1,21265,"Hoekstra, Peter",2006
26492,"Van Vliet, Dennis",2058,1-0,17604,"Vanlerberghe, Eddy",1747
45055,"Van Bladel, Erik",1665,0-1,13870,"Lahousse, Wouter",1825
17902,"De Cuyper, Yago",1915,1-0,24422,"Van Noten, Stijn",1796
33138,"Wouters, Maarten",1751,1-0,3531,"Bistiaux, Thomas",1765
23258,"Macquoy, Ruben",1651,1-0,20206,"Smet, Geert",1661
1538,"Persoons, Bart",1681,0-1,23174,"De Coninck, Nelles",1573
24287,"Dechamps, Guido",1866,½-½,18686,"Van Bunderen, Gert",1826
11499,"Boeckx, Ben",1680,½-½,25399,"Burms, Jeroen",1751
24694,"De Rycke, Timothy",1878,1-0,23457,"Hernandez, Miguel",1608
54267,"Liekens, Ronny",1670,½-½,33421,"Zatyko, Ferry",1673
54712,"Janssen, Dries",1902,0-1,13798,"Debucke, Jolan",1723
14985,"De Baets, Keano",1755,1-0,50083,"Vanden Broeck, Jan",1750
11752,"Van Simaeys, Axel",1749,0-1,14992,"De Baets, Branko",1657
22519,"Van Hoorebeke, Jimmy",1733,1-0,24514,"Torfs, Hendrik",0
31143,"Vandevenne, Sander",2131,1-0,46353,"Van Hecke, Jeroen",1779
45501,"Melis, Wout",1777,1-0,50539,"Fleerackers, Willy",2010
13285,"Verrijssen, Patrick",1888,1-0,8991,"Callens, Herman",1638
48151,"Viaene, Jan",1638,½-½,11151,"Van Den Bossche, Gunter",1829
13004,"Poppe, Gaitan",1658,½-½,46639,"Vanhauwaert, Kurt",1741
17628,"Gaelens, Joachim",1573,½-½,51829,"Wollaert, Brian",1588
36366,"Vandevelde, Luc",1472,1-0,22952,"Prins, Ingmar",1550
15007,"Van Doorne, Stijn",1557,1-0,26662,"Vercruyce, Danny",1404
13903,"Hematyar, Fardin",1810,1-0,24466,"Khorrami, Faraz",1716
23071,"Gjymshana, Erik",1575,0-1,51071,"Maas, Joop",1876
13463,"De Pooter, Ronald",1821,½-½,21456,"Decaestecker, Maarten",1561
53538,"Deman, Tomas",1531,0-1,5321,"Sinke, Wim",1870
41254,"Carlier, Sven",1921,½-½,21609,"Mouhsine, Rachid",1759
43044,"De Vrieze, Sander",1809,½-½,13854,"Verlinden, Robijn",1928
22643,"Dhooge, Servaas",1787,½-½,22712,"Busselen, Lucas",1650
17480,"Slodicka, Anton",1260,1-0,8401,"Dhooge, Achiel",1555
23247,"Orban, Pieter-Jan",1581,1-0,8052,"Van Rij, Gert",1818
22161,"Bauwens, Steven",1741,1-0,11711,"Vanden Bossche, Nicolas",1691
15710,"De Rycke, Killian",1466,½-½,21359,"Clarisse, Eric",1732
13899,"Vandevelde, Koen",1716,0-1,21205,"Declerck, Adriaan",1362
12453,"Cappelle, Gert-Jan",1705,1-0,17780,"Plomp, Mateo",1757
16598,"Vandermeulen, Oscar",1514,0-1,10612,"Van Wijnendaele, Jovanni",1701
34011,"De Smet, Frans",1694,½-½,16894,"Burssens, Maya",1410
18157,"Plomp, Luka",1353,1-0,23127,"De Meyer, Nicolas",1615
2127,"Van De Putte, Ben",1677,1-0,14724,"Roose, Casimir",1612
16027,"Gellinck, Simon",1636,½-½,7251,"De Bode, Joren",1628
4707,"Van Driessche, Filiep",1673,0-1,23915,"De Ketelaere, Raphaël",1431
25602,"Litzba, Alexander",0,0-1,26018,"De Weird, Evy",1591
93661,"Moens, Bernard",1604,1-0,26065,"Vienne, Corentin",0
23740,"Bergamini, Massimo",1529,0-1,22801,"Delmee, Pierre",1540
69990,"Lejeune, Samuel",1409,1-0,82457,"Massoulie, Francois",1482
55549,"Castiau, Julien",1489,1-0,50962,"Mariavelle, Roland",1375
24975,"Cazenave, Bruno",0,0-1,17688,"Solis Calancha, Jordi",1554
19635,"Simeons, Jean",1445,½-½,7013,"Van De Craen, Piet",1524
24947,"Wanschoor, Sean",1429,1-0,22200,"Lemesre, Alexis",1248
19930,"Van Nedervelde, Antoine",1150,1-0,16626,"Desadeleer, Geoffrey",1347
23263,"Daems, Thibaut",1434,1-0,23046,"Lunev, Vitaly",1551
23350,"Pierrard, David",1289,0-1,16062,"Pauwels, Wout",1364
15013,"Przybyszewski, Mateusz",0,1-0,26527,"Jijin, Thanmay",0
25773,"Paul, Jonathan",0,½-½,21599,"De Cat, Timo",0
86045,"Herpigny, Yves",1634,0-1,35556,"Cornil, Etienne",1908
68543,"Lemaitre, Didier",1870,1-0,60619,"Padovano, Quentin",1465
23063,"Urbanska Richel, Cassiel",0,½-½,9067,"Fontigny, François",1716
83879,"Lhoir, Thierry",1556,1-0,26465,"Hans, Samuel",0
23555,"Slechten, Tim",1670,½-½,21545,"Gonzalez Alvarez, Thomas",1512
22774,"Caffonnette, Joachim",0,1-0,25047,"Mathys, Yassine",0
25382,"Keppens, James",1454,½-½,23092,"Duvillier, Frederic",1227
26761,"Batista-Genot, Lou",0,0-1,15459,"Talloen, Bert",1394
34045,"Pepermans, Jelle",1687,½-½,21451,"Pereiro, Jorge",1443
58017,"Gatta, Bruno",1333,0-1,31895,"Maesschalck, Vincent",1645
17662,"Boustany, Georges",1547,1-0,26980,"Rojas Fernández, Álvaro",0
26988,"Grasis, Marks",0,0-1,98431,"Geerts, Steven",1476
20695,"Pirson, Francois",1370,½-½,17782,"Frere, Eugène",1403
22107,"Sieber, Sven",1349,1-0,27213,"El Korbi, Mohamed",0
24611,"Coomans, Anne-Catherine",0,0-1,25492,"Giannone, Angelo",0
97627,"Loes, Pierre",1305,1-0,25597,"Lhoist, Yolaine",0
76601,"Marchal, Patrice",1799,1-0,93599,"Grijp, Peter",1867
25749,"Vermoesen, Jordan",0,1-0,23402,"Ho, Sy Le",1615
24542,"Longfils, Damien",1366,½-½,22809,"Semal, Sebastien",1489
97702,"Lemoine, Christian",1512,0-1,43605,"Pitropakis, Kyriakos",1516
26134,"Buffo, Rinaldo",1374,½-½,60205,"Derzelle, Alessandro",1492
22035,"Toti, Guido",1356,0-1 FF,26136,"Chitishvili, Nino",1190
16892,"Van Bael, Amandine",1182,0-1,71684,"Russo, Italo",1327
93149,"D'Amico, Luciano",1283,0-1,24251,"Descamps, Iris",899
22688,"Couniot, Jacques",1647,1-0,63771,"Drossart, Julien",1507
67971,"Lepape, Philippe",1376,0-1,14956,"Bracq, Christian",1630
14963,"Bracq, Gregory",1568,0-1,26437,"Kouptchinsky, Christian",0
26439,"Kouptchinsky, Simon",0,0-1,50133,"Gravini, Edwin",1447
23960,"Amoroso, Thomas",1422,1-0,23177,"Mac Donough, Guillaume",0
62278,"Ruelens, Thierry",1371,½-½,25758,"Lopez Monedero, Jesus",0
23270,"Jacob, Raphaël",1219,1-0,70033,"Rorive, Alain",1224
73598,"Ragogna, Thierry",1059,0-1,23611,"Cascarano, Sandro",0
71455,"Coibion, Charles",2191,½-½,72583,"Corda, Thierry",1746
23126,"Houbben, Johnny",1422,0-1,27282,"Stefos, Stefanos",1807
27305,"De Groot, Frans",0,1-0,98434,"Arguelles, Jose",1337
24898,"Arguelles Sanchez, Jordi",0,0-1,26870,"Pironet, Quentin",0
99031,"Schleck, Victor",1595,0-1,27496,"Boissel, Kasimir",1803
23766,"Van Lochem, Alex",1651,1-0,14658,"Peters, Lucas",1267
18057,"Litt, Thibo",1163,0-1,22798,"Van Onckelen, Noam",1276
23838,"Toledo, Michael",0,1-0,17634,"Louvet, Dylan",0
26904,"Ali Ou Alla, Hassan",0,0-1,94072,"Sproten, Raphael",1635
12956,"Biegmann, Mirco",1181,1-0,26785,"Katalina, Jérémy",0
27003,"Marghem, Emile",0,0-1,18917,"Velz, Michael",0
26422,"Kelek, Mustafa",0,1-0,26882,"Kaiser, Simon",0
64416,"Desauw, Alfons",1468,½-½,62812,"De Ryck, Jacques",1417
24812,"Vanvlasselaer, Michael",0,0-1,18905,"Klinkenberg, Jan",1327
19463,"Pluymen, Karl-Heinz",1287,0-1,25916,"Benaissa, Mustapha",0
25139,"Rumler, Maxime",0,0-1,98744,"Hermens, Juergen",1169
20509,"Pham Kieu, Khanh",1292,0-1,8419,"Cornet, Luc",1785
37311,"Goenen, Ferhat",1737,1-0,19029,"Pinet, Valentine",1250
17772,"Heldenbergh, Izia",1150,0-1,22600,"Kshirsagar, Pranav",1666
24131,"Cakmak, Metehan Tugra",1429,1-0,20852,"Gou, Axelle",1003
65803,"Deprez, Tarcis",1546,½-½,27502,"Speybroeck, Eric",1685
6190,"Traest, Philip",1375,½-½,15171,"Withouck, Jonas",1201
21203,"Ravelingien, Emiel",0,0-1,24015,"Picqueur, Eric",1151
7102,"Vincent, Albert",1154,1-0,24585,"Demuenynck, Giordano",0
41629,"Van Vooren, Marc",1682,0-1,21873,"Denys, Alex",2159
31640,"Dezutter, Johan",1880,½-½,10626,"Van Damme, Patrick",1667
98226,"Haers, Luc",1407,½-½,12092,"Van Kerkhove, Piet",1704
2526,"Van Gompel, Hugo",1355,1-0,10228,"Neyt, Joris",1392
89508,"Ulenaers, Marc",1717,1-0,55468,"Meijfroidt, Bart",1610
22250,"Lenoir, Aurèle",1579,0-1,213,"Deblauwe, Pauwel",1684
5177,"Renckens, Yannick",1605,½-½,12629,"Lucas, Jean",1507
11793,"Vandenbussche, Dries",1321,1-0,54429,"Degrieck, Peter",1472
2984,"Penninck, Wim",1578,½-½,11712,"De Geeter, Arne",1526
8931,"Heyerick, Anton",1562,½-½,97150,"Ost, Roger",1552
22180,"Bekaert, Dylan",0,0-1,23622,"Van Stechelman, Stan",0
24903,"Van De Velde, Stijn",0,½-½,17482,"Desloovere, Peter",1434
17299,"Bartier, Wieland",1517,0-1,36811,"Bernaert, Michael",1794
36331,"Van Rillaer, Dirk",1599,0-1,12340,"Kim, Oleg",1483
19375,"Vannecke, Ben",1230,½-½,32247,"Suski, Dominiek",1498
58947,"De Meyere, Dirk",1527,1-0,27160,"Meyns, Alexander",0
39829,"Timmermans, Stefan",1819,0-1,49654,"Vervloet, Staf",1645
27243,"Geukens, Staf",1632,1-0,19131,"Hanssen, Casper",1359
23102,"Beckers, Seth",1327,1-0,37427,"Vlaeyens, Manu",1494
17527,"De Praitere, Hannes",1401,1-0,14691,"Boesmans, Peter",1299
19371,"Huybrechts, Kobe",1579,1-0,22025,"Lukin, Yesenia",1300
21853,"Seyns, Odilon",1161,1-0,20085,"Huybrechts, Martijn",1533
23420,"Laeremans, Domien",1507,0-1,22027,"Toroptsev, Kristian",1237
23564,"Van Heinsbergen, Jonathan",0,1-0,27043,"Sijben, Len",0
23203,"Coenen, Benjamin",1768,½-½,18038,"Ruelens, Arnout",1526
22613,"Van De Perre, Ides",0,½-½,94501,"Bair, Marc",1676
82384,"Heuschen, Roland",1660,1-0,26036,"Mareels Dutry, Jasper",0
27039,"Van Damme, Jasper",0,0-1,70521,"Sferruggia, Serge",1531
23194,"Smirnov, Sergey",1583,0-1,41076,"Stynen, Koen",2049
18004,"Demirel, Talha",0,0-1,17852,"Huysmans, Carsten",1203
19478,"Schouteden, Linda",1150,0-1,26022,"Willaert, Korneel",0
27271,"Elsen, Joël",0,0-1,24974,"Koninkx, Reinout",0
26095,"Ezzangui, Youssef",0,½-½,95001,"Willen, Ronny",1827
23773,"Lalkota, Sai Pranav Tejas",1363,1-0,72109,"Renard, Alain",1557
22673,"De Winter, Roman",1515,1-0,24231,"Lalkota, Naresh Kumar",1283
11993,"Harder, Cindy",1150,0-1,14915,"Lievens, Robert",1423
32352,"Van Hoof, Jan",1831,1-0,45675,"Foulon, Greta",1695
33146,"Van Eetvelde, Bart",1534,½-½,12667,"Kumpen, Jona",1714
19574,"Boatca, Luca",1571,1-0,41131,"Bruynseels, Roger",1356
19719,"Oudewaal, George",1100,0-1,13910,"Tips, Tibo",1417
19678,"Stroobant, Arne",1553,1-0,21997,"Roosen, Stefan",1688
19377,"Nguyen, Phuc Huy",1203,0-1,19469,"Surkol, Hector",1532
22388,"Geenen, Kobe",1391,1-0,27237,"Commeine, Maarten",0
27342,"Pelit, Mustafa",0,0-1,22496,"Cloots, Josse",0
14552,"Motmans, Matthias",1588,½-½,42749,"Geentjens, Pieter",1585
96491,"Van Steenwinckel, Hugo",1513,0-1,16762,"De Bie, Yannick",1382
25361,"Lippens, Tristan",0,0-1,50152,"Van Roy, Arno",1437
20157,"Van Bockland, Siebe",1134,1-0,25363,"Meylemans, Sander",0
21232,"Parssbai, Yanal",1475,½-½,27042,"Amartib, Yassin",0
25703,"De Groot, Teun",1479,½-½,14197,"Maas, Willem",1321
27104,"Turner, Caimen",0,0-1,24835,"Molenaar, Bram",1348
27056,"Biltjes, Miguel",0,1-0,23419,"Murali, Anushya",0
27278,"Duchesne, Marc",1717,1-0,12390,"Oliphant, Tim",1517
60220,"Meerschman, Maxime",1343,½-½,36447,"Van Der Vurst, Adriaan",1798
25257,"Mariën, Niels",1630,0-1,26892,"Dumovski, Nikola",0
26888,"Steyt, Antoine",0,1-0,16887,"Michiels, Lode",0
10415,"Harutyunyan, Axel",1959,1-0,13464,"Torfs, Gert",1579
53619,"Doossche, Carlo",1554,0-1,20829,"Gilson, Pacôme",1299
24637,"Shchetinin, Mykyta",0,0-1,31011,"Van Den Berge, Laurens",1469
54852,"Provoost, Benny",1416,0-1,26874,"Kho, Justin",0
46281,"Baete, Guy",1854,1-0,95604,"Weynen, John",1514
6050,"Moeyersons, Koenraad",1395,1-0,25585,"Szoke, Harry",1624
48968,"Jacobs, Paul",1604,1-0,12563,"Van Tendeloo, Maria",1150
18948,"Van Praet, Vik",0,0-1,30066,"De Cock, Cesar",1240
32298,"Theys, Bart",1885,0-1,25482,"Van Gestel, Jef",1542
24105,"Festraerts, Len",1390,1-0,21753,"Theys, Quinten",0
23909,"Li, Erik",0,0-1,21682,"Fleischeuer, Sebastian",0
20197,"Vanderveken, Antoon",0,1-0,24109,"Van Calster, Stan",0
52035,"Vanden Eede, Pascal",1578,1-0,26385,"Rojas Garcia, Pablo",0
24713,"Ertugrul, Yigit",1487,½-½,15394,"Vandenbroeck, Michel",1472
22870,"Goderis, Wim",1447,0-1,24386,"Tupikin, Viktor",1455
26659,"Tahini, Bilal",0,0-1,23882,"Jadoul, Maximilien",1314
21766,"Vermeer, Stef",1461,0-1,6769,"Dupont, Paul",1625
44911,"Coenen, Tom",1444,1-0,22736,"Boelaers, Louis",0
22609,"Vaes, Micah",0,0-1,24890,"Van Leuven, Jan",0
11592,"Huysmans, Pierre",1461,1-0,23603,"Vennekens, Sam",0
17899,"Möller, Maarten",1510,½-½,33618,"Baeten, Yves",1635
8788,"Cornelis, Werner",1293,0-1,25154,"Pattyn, Fjodor",0
27061,"Gestels, Jeff",0,½-½,28576,"Burgdorffer, Anton",1271
6891,"De Visser, Stefaan",1324,1-0,19957,"Morel, Louis",0
22760,"Minnaert, Bob",1327,½-½,11014,"De Niel, Michiel",1563
47333,"Cauwenberghs, Kenneth",1532,1-0,16549,"Vermeulen, Thijs",1242
24818,"Wauters, Fernand",0,0-1,24961,"Vilarnau, Enrique",1538
46582,"Elizalde, Alejandro",1471,1-0,16771,"Entwistle, Alan",1166
25441,"Manhaeve, Wouter",1542,1-0,10281,"Roose, Bernard",1332
24556,"Klimenko, Timur",1212,1-0,21992,"Tabsho, Hassan",1331
27179,"José, Rodrigo",0,1-0,20180,"Di Marcantonio, Tigo",0
22448,"Decraene, Eden",1025,½-½,22862,"Esprit, Kobe",0
50067,"Van Heddeghem, Klaas",1638,0-1,14415,"Vansteenhuyse, Rune",1685
76899,"Lambrecht, Patrick",1674,½-½,80748,"Dumont, Freddy",1639
49743,"Matthys, Johan",1592,0-1,27321,"Debaere, Thomas",0
27325,"Vanbeselaere, Victor",0,1-0,11922,"Smekens, Ann",1150
14199,"Buyse, Brent",1694,1-0,17620,"Beirnaert, Olivier",1464
22875,"Demuytere, Joppe",0,½-½,12824,"Vancoillie, Guido",1574
4316,"Vanassche, Renaat",1298,0-1,26567,"Oost, Bill",0
24702,"Priem, Korneel",0,0-1,17755,"Wydooghe, Diederik",1276
40193,"Rollez, Luc",1589,0-1,16118,"Bastien, Sidan",1358
16787,"Kaminskiy, Volodimyr",1308,½-½,13652,"De Bakker, Mathisse",1513
50205,"Van Haute, Dieter",0,1-0,16129,"Foulon, Thales",1254
15412,"Christiaens, Nyssa",1191,1-0,14948,"De Meerleer, Jeroen",1150
16624,"Renshofer, Tim",1783,1-0,15670,"Schalembier, Kylian",1490
23351,"Defour, Eline",1356,½-½,15863,"Coppens, Bart",1392
23861,"Geerts, Maarten",0,1-0,21612,"Meulemeester, Joran",0
26366,"Claerhout, Tieme",0,½-½,24740,"Breugelmans, Jan",1258
22984,"Lhoest, Lancelot",1704,½-½,65200,"Lebedelle, Julien",1677
16316,"Lepoutre, Florian",1449,½-½,24506,"Delesenne, Arthur",1649
23104,"Moledo Del Rio, Alejandro",1472,0-1,23528,"Vanhooren, Julien",1304
23050,"Mishra, Soham",0,0-1,25822,"Tahari, Youcef Nazim",0
17422,"Smeyers, Johan",1544,0-1,22016,"Lebeau, Raphaël",1493
13053,"Romboni, Charles",1478,1-0 FF,12750,"Laureys, Mats",1451
17614,"Vanrossum, Mathias",1431,½-½,24513,"Attout, Francois",1402
22066,"Demols, Nathan",1355,1-0,21572,"Geraerts, Jules",0
26668,"Wouters, Nick",0,1-0,99273,"D'Elia, Michele",1398
61778,"Mc Hale, André",1263,0-1,23384,"Heidingsfeld, Adam",1318
43346,"Van Der Voorde, Sonja",1373,1-0,24605,"Weck, Monique",0
19710,"Lopez Azanon, Amparo",0,0-1,26958,"Farkas, Viktor Maxim",1316
22702,"Cleuren, Thomas",1496,1-0,23075,"Pérez, Santiago",1642
23297,"Vandenberghe, Marc",1371,0-1,11006,"Rawoens, Jonas",1539
32409,"Vlaeminck, Frank",1423,0-1,26427,"Yapici, Ozan",0
26442,"Zorrilla Silva, Moises Alberto",0,0-1,39888,"De Clercq, Geert",1394
71081,"Knudde, Francis",1682,1-0,94935,"Chabeau, Patrice",1491
20799,"Wauters, Ladislas",1243,1-0,21533,"Montignie, Damien",1326
23727,"Desimpelaere, Christian",1225,½-½,24649,"Merchez, Cosmo",0
17730,"Bensafi, Mathias",1216,1-0,25014,"Assous, David",0
15665,"Ooms, Kylion",1425,0-1,19738,"Meert, Maarin",1330
16522,"Ongenae, Veerle",1272,1-0,19553,"Maes, Jasper",1150
27336,"Maes, Erwin",0,0-1,24147,"Ingels, Nick",1150
21168,"Meert, Senne",0,1-0,19860,"De Smet, Francis",0
13934,"Lauwers, Timo",1553,1-0,97868,"Koninckx, Eric",1556
82210,"Varlet, Daniel",1362,1-0,5703,"Jonckers, Marie-Jeanne",1397
19993,"Biesemans, Niel",1217,1-0,41793,"Marcus, Paul",1358
15676,"Souweine, Edwige",1227,0-1,16199,"Peeters, Jurre",916
68764,"Remon, Serge",1495,1-0,36005,"Vanherck, Jeroen",1574
25610,"Verspecht, Louis",0,½-½,46302,"Van Mol, Yves",1459
14019,"Simon, Fernand",1321,½-½,25614,"Martens, Aron",1312
20243,"Vanherck, Adinda",903,½-½,96343,"Travers, Sylvain",1325
22184,"Claessens, Dirk",1405,0-1,27304,"Ninane, Erwan",0
17413,"De Landtsheer, Jean-Michel",1467,0-1,96704,"Schatteman, Sven",1416
38156,"Evens, Joris",1388,0-1,23032,"Anckaert, Benjamin",1429
19507,"Rozas, Eitan",0,1-0,17254,"Van Steen, Guido",1380
2640,"Temmerman, Hans",1666,½-½,25049,"Vandenhove, Lucas",1381
23984,"Peeters, Rik",0,1-0,19627,"De Rycke, Georges",1385
38016,"Van Heghe, Isabelle",1150,0-1,24766,"Verplancke, Joost",0
26087,"Mallants, Jochen",0,1-0,20241,"Van Lierde, Rutger",0
25079,"Vanhove, Robbie",0,1-0,10248,"Clarys, Stefaan",1300
27245,"Czyzowicz, Pawel",0,½-½,48381,"Remijsen, Dave",1784
58424,"Berghs, Hilde",1564,1-0,24993,"Santschi, Samantha",0
19815,"Covens, Wim",957,0-1,3166,"De Cap, Jan",1411
29467,"Bunkens, Rudi",1673,½-½,16418,"Thiry, Victor",1186
24114,"Ooms, Lennert",0,0-1,52213,"Baekelandt, Els",1506
14517,"Deleu, Leen",1410,1-0,17812,"Eykens, Aaron",0
26019,"Verbruggen, Axl",0,0-1,14521,"Deleu, Karen",1357
24989,"Smeekens, Joppe",1395,1-0,44482,"Stuer, Hugo",1582
16222,"Wille, Geert",0,0-1,18081,"Celiktas, Kaan",1300
22987,"Tajsumov, Timour",0,0-1,25039,"De Bock, Jonas",0
20556,"Van Goethem, Jonas",1204,1-0,22840,"Heyndels, Tuur",1081
15856,"Pouliart, Sander",1465,1-0,21615,"Van Vlierberghe, Matthew-Vincent",1202
21767,"Spinazzola, Matteo",1067,½-½,13436,"Manders, Anton",0
11946,"Arakelyan, Narek",1357,1-0,25019,"Stes, Stella",0
21588,"Potums, Loïc",0,0-1,24960,"Van Dromme, Alex",0
24597,"Ducaert, Frederik",1643,0-1,22695,"Pereira Garza, Cecilia",1482
