idbel_white,fullname_white,belrating_white,result,idbel_black,fullname_black,belrating_black
71790,"Noiroux, Kevin",2186,0-1,86495,"Geenen, Marc",2213
61328,"Bauduin, Étienne",2196,½-½,63053,"Memeti, Kastriot",2151
62600,"Munster, Pierre",2039,0-1,12804,"Fayard, Alain",2155
20846,"Raptis, Filippos",2015,1-0,63185,"Nauts, Patrick",2023
85341,"Gheury, Jean-Marie",1806,0-1,74365,"De Villers, Mourad",2180
60861,"Van Uytven, Eric",2062,1-0,12189,"Kreczman, Savinien",1619
25638,"Latour, Quentin",1535,0-1,15150,"Soubirou, Oriane",2062
17715,"Rusev, Rosen Yordanov",2331,½-½,67008,"Saiboulatov, Daniyal",2358
70564,"Eliet, Nicolas",2314,½-½,12054,"Tomov, Georgi",2270
95672,"Wiley, Tom",2143,1-0,74853,"Sclacmender, Julien",2217
64637,"Marte, Sébastien",2156,½-½,81558,"Hoffmeister, Frank",2165
17595,"Perez De Aranda A., Leonardo I.",2117,½-½,87408,"Jamar, Vadim",2047
22966,"De Heug, Andrea",1901,½-½,18047,"Ouaki, Mark",2104
87548,"Suskovic, Matija",2092,1-0,54810,"Piacentini, Claudio",2061
10554,"Delescaille, Laurent",1822,0-1,26343,"Wahlund, Max",2002
52795,"Faure, Stéphane",2031,½-½,13668,"Froeyman, Helmut",2301
69329,"Sadkowski, Daniel",2217,1-0,16319,"Zotikishvili, Dimitri",2023
45608,"Decrop, Ruben",1980,1-0,21174,"Prudlo, Simon",2154
14354,"Van Mechelen, Jan",2149,0-1,12831,"Pincket, Michael",1883
8001,"Pincket, Thomas",1856,0-1,25763,"Penson, Thierry",2146
53589,"Tolk, Pieter",2087,1-0,20516,"Vanmassenhove, Frederik",1838
59111,"Wyntin, Dag",1875,1-0,23532,"Eerens, Pim",2048
6858,"Schuermans, Robert",2075,½-½,21329,"Benredouane, Ilies",1775
18066,"Wemmers, Xander",2356,1-0,22543,"Hamblok, Roel",2250
14279,"Rogge, Parcival",2239,½-½,12899,"Ismail, Tamer",2149
15742,"Cornelisse, John",2137,1-0,10934,"Van Malder, Dries",2197
10816,"Boudry, William",2114,1-0,11501,"Veltkamp, Gerben",2090
22586,"Haberkorn, Danny",2066,0-1,14625,"De Rycke, Tyani",2026
33570,"Verhelst, Joris",2077,0-1,22632,"Pieters, Frederik",2019
26499,"Titus, Branco",2012,0-1,38253,"De Bock, Lennart",2052
10967,"Decruyenaere, Robbert",1967,1-0,9971,"Segarra Gonçalves, Jorge",1988
12445,"Raats, Joppe",2137,½-½,27453,"Garrido Dominguez, Jesus",2412
12255,"Rihouay, Clément",2241,½-½,16951,"Allaert, Dimitri",2200
38270,"Barbier, Wim",2089,1-0,1686,"De Wit, Michel",2130
27457,"Pascual Palomo, Lucia",2100,1-0,14108,"Goddé, Matthias",2039
36323,"Gooris, Jan",2082,½-½,841,"Tonoli, Walter",2142
24731,"Van Batenburg, Mees",2080,½-½,29424,"Decoster, Sam",2045
12997,"De Bock, Thijs",2028,1-0,12278,"Spaan, Nathanael",2110
67032,"Draidi, Ahmed",2011,0-1,20065,"Cuyvers, Jens",1835
17843,"Van Volsem, Merlijn",2194,1-0,1988,"Van Cappellen, Jonas",2248
50075,"Goossens, Hanne",2172,0-1,16868,"Victor, Julian",2108
15179,"De Reese, Elias",1968,1-0,11030,"De Block, Yordi",2103
48569,"Rogiers, Jan",2139,0-1,14603,"Vanduyfhuys, Igor",1912
16865,"De Geest, Hannes",1968,½-½,26972,"Versyck, Dominique",2057
1929,"Van De Perre, Tom",2042,½-½,24922,"Jabandzic, Irfan",1995
51161,"Secelle, Hans",2024,0-1,11034,"De Block, Fabio",2020
